"","HHID","ea_id","FCS","HDDS","rCSI","rural","FS_year","FS_month","hhweight","lat_modified","lon_modified","round"
"1","101010160009","10101016",40.5,6,10,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"2","101010160033","10101016",28,5,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"3","101010160060","10101016",35,5,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"4","101010160068","10101016",39,6,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"5","101010160069","10101016",42.5,5,2,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"6","101010160070","10101016",78,7,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"7","101010160074","10101016",24.5,5,6,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"8","101010160086","10101016",53,6,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"9","101010160096","10101016",67,7,13,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"10","101010160143","10101016",42,5,1,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"11","101010160159","10101016",28.5,5,9,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"12","101010160180","10101016",31.5,5,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"13","101010160207","10101016",60.5,5,3,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"14","101010160235","10101016",58,7,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"15","101010160254","10101016",23,4,0,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"16","101010160265","10101016",32.5,3,14,1,2010,4,126.560096740723,-9.80998039245605,33.3872985839844,2010
"17","101012040003","10101204",31,6,6,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"18","101012040007","10101204",37.5,5,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"19","101012040011","10101204",25,5,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
